,Spieler,Nation,Nationalelf
676,Carsten Nielsen,['Dänemark'],Dänemark
677,Tobias Werner,['Deutschland'],Deutschland
678,Kevin De Bruyne,['Belgien'],Belgien
679,Ciriaco Sforza,['Schweiz'],Schweiz
680,Didier Six,['Frankreich'],Frankreich
681,Herbert Zimmermann,['Deutschland'],Deutschland
682,Manfred Rummel,['Deutschland'],Deutschland
683,Vladimír Darida,['Tschechien'],Tschechien
684,Otto Rehhagel,['Deutschland'],Deutschland
685,Franco Di Santo,"['Argentinien', 'Italien']",Argentinien
686,Sasa Kalajdzic,['Österreich'],Österreich
687,Srđan Lakić,['Kroatien'],Kroatien
688,Moussa Diaby,"['Frankreich', 'Mali']",Frankreich
689,Christoph Dabrowski,['Deutschland'],Deutschland
690,Lars Bender,['Deutschland'],Deutschland
691,Carsten Ramelow,['Deutschland'],Deutschland
692,Peter Szech,['Deutschland'],Deutschland
693,Bernd Windhausen,['Deutschland'],Deutschland
694,Torbjörn Nilsson,['Schweden'],Schweden
695,Karim Onisiwo,['Österreich'],Österreich
696,Hans Dorfner,['Deutschland'],Deutschland
697,Helmut Kapitulski,['Deutschland'],Deutschland
698,Nuri Şahin,"['Türkei', 'Deutschland']",Türkei
699,Uli Bittcher,['Deutschland'],Deutschland
700,Gerhard Poschner,['Deutschland'],Deutschland
701,Lúcio,['Brasilien'],Brasilien
702,Thomas Berthold,['Deutschland'],Deutschland
703,Søren Lerby,['Dänemark'],Dänemark
